Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-09-21,198.7169443450359,214.17271342116078,198.2753578735579,213.28952026367188,88380,0.0,0.0,0.0
2001-09-24,209.75671099671663,209.75671099671663,197.96618358037682,201.2339630126953,87900,0.0,0.0,0.0
2001-09-25,201.45451112522971,201.45451112522971,192.18106798202473,194.30072021484375,76500,0.0,0.0,0.0
2001-09-26,194.09328495349456,194.75571937313106,187.248122545286,189.1029510498047,119235,0.02,0.0,0.0
2001-09-27,191.2227950644305,195.19740295410156,184.64262032561777,195.19740295410156,37545,0.0,0.0,0.0
2001-09-28,199.61348307546484,208.40177281165748,199.61348307546484,207.91598510742188,135375,0.0,0.0,0.0
2001-10-01,205.66370700472058,205.70785849511122,197.84697269661052,202.52818298339844,27495,0.0,0.0,0.0
2001-10-02,206.45862330946147,206.45862330946147,199.9226054382883,203.5880889892578,64785,0.0,0.0,0.0
2001-10-03,197.00785744735893,210.2565367675025,195.2855250925642,207.783447265625,174285,0.0,0.0,0.0
2001-10-04,213.2595953917633,225.71336783624193,211.27229321384596,220.14892578125,198165,0.0,0.0,0.0
2001-10-05,221.25307610048714,224.21195496419267,213.92212642035997,220.7672882080078,76485,0.0,0.0,0.0
2001-10-08,218.16166367602025,226.773308028812,213.43630119939363,220.23728942871094,104340,0.0,0.0,0.0
2001-10-09,218.824201898447,224.69778911020074,217.45516117274659,224.0353546142578,28605,0.0,0.0,0.0
2001-10-10,224.91856182968797,235.42918933066403,224.56526886250066,235.3408660888672,141240,0.0,0.0,0.0
2001-10-11,239.35979015352203,240.68465980341992,229.02580284113714,234.41360473632812,117360,0.0,0.0,0.0
2001-10-12,232.7794389932871,238.16723731364073,229.64391354018167,235.38502502441406,62745,0.0,0.0,0.0
2001-10-15,234.28078346277587,236.48890320989776,224.12347710094753,226.11077880859375,39195,0.0,0.0,0.0
2001-10-16,226.9942653134969,237.99068448138146,226.9942653134969,235.78256225585938,58230,0.0,0.0,0.0
2001-10-17,237.15143425020588,241.78847346738868,234.1484047195049,234.9433135986328,94035,0.0,0.0,0.0
2001-10-18,233.39768631784645,236.0474234559265,224.65354567582634,226.7291717529297,60705,0.0,0.0,0.0
2001-10-19,227.30332757498041,234.5017828986929,220.19319549220404,233.6185302734375,118755,0.0,0.0,0.0
2001-10-22,236.0916393023565,241.788579745007,230.30637561209173,240.86117553710938,65400,0.0,0.0,0.0
2001-10-23,240.24243833751262,253.0936588332048,237.23941316495626,244.8794708251953,148635,0.0,0.0,0.0
2001-10-24,242.89266610759324,245.0124647933379,235.2967646181217,242.4510498046875,131820,0.0,0.0,0.0
2001-10-25,239.7127783513136,260.557373046875,239.7127783513136,260.557373046875,111000,0.0,0.0,0.0
2001-10-26,260.5575964701886,275.4402778722364,260.5575964701886,272.92303466796875,202905,0.0,0.0,0.0
2001-10-29,273.2763408226039,280.430646437371,268.33017743558736,272.039794921875,376215,0.0,0.0,0.0
2001-10-30,265.91732434362183,265.91732434362183,256.3319272704389,257.0828552246094,228630,0.093333,0.0,0.0
2001-10-31,256.8619132755976,260.6165721903657,249.13176765070702,253.4606475830078,256620,0.0,0.0,0.0
2001-11-01,248.61722470676145,257.5437433745013,245.39129788456862,254.58297729492188,100455,0.16,0.0,0.0
2001-11-02,249.2361787348747,252.41790909522996,244.55194324046184,247.3801727294922,41625,0.0,0.0,0.0
2001-11-05,245.74517061236668,247.1150753433488,239.16072716411284,240.70741271972656,104955,0.0,0.0,0.0
2001-11-06,235.757848096743,240.35370085426896,230.41077351801079,239.8675994873047,76455,0.0,0.0,0.0
2001-11-07,240.83989695551764,250.9595887278058,236.33242265270476,249.0151824951172,192120,0.0,0.0,0.0
2001-11-08,253.21320052660045,260.81402101532467,251.00365451201088,252.5503387451172,220890,0.0,0.0,0.0
2001-11-09,260.2840095920436,264.9682475095611,259.1792454677335,261.3887939453125,180180,0.0,0.0,0.0
2001-11-12,254.5391772343379,263.5099102042847,251.3574456104912,263.3773498535156,371070,0.0,0.0,0.0
2001-11-13,262.05153686297245,271.7735093149973,258.69302551906594,266.4706115722656,332040,0.0,0.0,0.0
2001-11-14,255.8647459593968,255.8647459593968,244.15419006347656,244.15419006347656,436020,0.0,0.0,0.0
2001-11-15,224.71018387971105,226.6987695777616,213.662492300188,217.63966369628906,409440,0.0,0.0,0.0
2001-11-16,219.84921514238417,229.79214477539062,215.73948303144013,229.79214477539062,311175,0.0,0.0,0.0
2001-11-19,224.71018737150786,230.94108527643422,218.52346947179015,226.56619262695312,315030,0.0,0.0,0.0
